HSN,NAME,GST,,,,,
2306.10.00,"Oil-cake, solid residues resulting from extraction of cotton seed oil230620 oil-cake, solid residues resulting from extraction of linseed oil",0,,,,,
2306.20.10,Oil-cake and oil-cake meal of syabean expeller variety,0,,,,,
2306.20.20,"Linseed, solvent extracted",0,,,,,
2306.20.90,"Oilcake etc nesoi, from veg fats & oils nesoi: Other",0,,,,,
2306.30.00,"Oil-cake, solid residues resulting from extraction of sunflower seed oil",0,,,,,
2306.30.10,Oil-cake and oil-cake meal of syabean expeller variety,0,,,,,
2306.30.20,"Sunflower seed, solvent extracted",0,,,,,
2306.30.90,"Oil-cake, solid residues resulting from extraction of sunflower seed oil: Other",0,,,,,
2306.40.00,"Oil-cake, solid residues resulting from extraction of rape seed oil",0,,,,,
2306.41.00,"Rape or colza seed, solvent extracted",0,,,,,
2306.50.00,Coconut Oil Cake,0,,,,,
2306.50.00,"Oil-cake, solid residues resulting from extraction of coconut, copra oil",0,,,,,
2306.50.10,Oil-cake and oil-cake meal of syabean expeller variety,0,,,,,
2306.50.20,"Coconut or copra, solvent extracted",0,,,,,
2306.50.90,"Oil-cake, solid residues resulting from extraction of coconut, copra oil: Other",0,,,,,
2306.60.00,"Oil-cake, solid residues resulting from extraction of palm nut oil",0,,,,,
2306.60.00,"Palmnuts or kernals, solvent extracted",0,,,,,
2306.70.00,"Maize (corn) germ, solvent extracted",0,,,,,
2306.70.00,"Oil-cake, solid residues resulting from extraction of  Maize (Corn) germ",0,,,,,
2306.90.00,"Other oil-cake, solid residues",0,,,,,
2306.90.11,Mowra seed oil-cake and oil-cake meal expeller variety,0,,,,,
2306.90.12,Mustard seed oil-cake and oil-cake meal expeller variety,0,,,,,
2306.90.13,Niger seed oil-cake and oil-cake meal expeller variety,0,,,,,
2306.90.14,Seasamum seed oil-cake and oil-cake meal expeller variety,0,,,,,
2306.90.15,Mango kernel oil-cake and oil-cake meal expeller variety,0,,,,,
2306.90.16,Sal de-oiled cake and oil-cake meal expeller variety,0,,,,,
2306.90.17,Castor seed oil cake expeller variety,0,,,,,
2306.90.21,"Mustard seeds, solvent extracted",0,,,,,
2306.90.22,"Niger seeds, solvent extracted",0,,,,,
2306.90.23,"Cardi seeds,  solvent extracted",0,,,,,
2306.90.24,"Seasamum Seeds (gingily), solvent extracted",0,,,,,
2306.90.25,"Mango kernel, solvent extracted",0,,,,,
2306.90.26,"Sale de-oiled, solvent extracted",0,,,,,
2306.90.27,Castor seed oil cake solvent extracted,0,,,,,
2306.90.29,"Other seeds,  solvent extracted",0,,,,,
2306.90.30,Residures of babool seed extraction,0,,,,,
2307.00.00,"Wine lees, argol. [Lees refers to deposits of dead yeast or residual yeast and other particles that precipitate, or are carried by the action of ""fining"", to the bottom of a vat of wine after fermentation and aging.  Argol tartar obtained from wine fermentation].",5,,,,,
2308.00.00,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included ",0,,,,,
2308.10.00,Acorns & horse-chestnuts,0,,,,,
2308.90.00,"Other vegetable material, vegetable waste, residues for fodder use",0,,,,,
2309.00.00,Preparations of a kind used in animal feeding ,0,,,,,
2309.10.00,"Dog or cat food, put up for retail sale",0,,,,,
2309.90.00,Other preparations of a kind used in animal feeding,0,,,,,
2309.90.10,Compounded animal feed,0,,,,,
2309.90.20,Condentrates for compound animal feed,0,,,,,
2309.90.31,"Prawn, shrimp and poultry feed",0,,,,,
2309.90.32,Fish meal in powdered form,0,,,,,
2309.90.39,Other feeds for fish,0,,,,,
2309.90.90,Other preparations of animal feeds,0,,,,,
2400.00.00,Tabacco leaves [under reverse charge],5,,,,,
2400.00.00,"All goods not specified elsewhere, other than biris",28,,,,,
2401.00.00,"Tobacco, unmanufactured, tobacco refuse",28,,,,,
2401.10.00,Tobacco (not stemmed),28,,,,,
2401.20.00,Tobacco (partly or wholly stemmed),28,,,,,
2401.30.00,Tobacco refuse,28,,,,,
2402.00.00,"Cigars, cigarettes etc., of tobacco or substitutes",28,,,,,
2402.10.00,"Cigars, cheroots, cigarillos (containing tobacco)",28,,,,,
2402.10.20,Cigarillos,28,,,,,
2402.20.00,Cigarettes (containing tobacco),28,,,,,
2402.90.00,"Other cigars, cheroots, cigarillos, cigarettes",28,,,,,
2403.00.00,"Tobacco & tobacco subst mfrs nesoi, tob proces etc",28,,,,,
2403.10.00,Smoking tobacco,28,,,,,
2403.10.10,Hookah / hoodku tobacco,28,,,,,
2403.10.20,Cheroots,28,,,,,
2403.10.20,Smoking mixtures for pipes and cigarettes,28,,,,,
2403.10.31,"Beedi, Beedi Tobacco",28,,,,,
2403.91.00,Homogenised or reconstituted tobacco,28,,,,,
2403.99.00,"Other manufactured tobacco, tobacco substitutes, tobacco extracts, essences [Gutka, Khara Masala, Kimam, Dokta, Zarda, Sukha or Surthi]",28,,,,,
2403.99.10,Chewing tobacco,28,,,,,
2403.99.20,Preparations containing chewing,28,,,,,
2403.99.30,Jarda scented tobacco,28,,,,,
2403.99.40,Snuff,28,,,,,
2403.99.60,Tobacco extracts and essence,28,,,,,
2403.99.70,Cut tobacco,28,,,,,
2403.99.90,"Other manufactured tobacco, tobacco substitutes, tobacco extracts, essences [Gutka, Khara Masala, Kimam, Dokta, Zarda, Sukha or Surthi]: Other",28,,,,,
2501.00.00,Salt other than common salt,5,,,,,
2501.00.10,"Common salt, by whatever name it is known, including  iodized and other fortified salts, sendha namak [rock salt], kala namak.",0,,,,,
2502.00.00,Unroasted iron pyrites,5,,,,,
2503.00.00,"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and collodial sulphur.",5,,,,,
2503.00.10,Sulphur recovered as by-product in refining of crude oil,18,,,,,
2503.10.00,Sulphur (crude or unrefined),5,,,,,
2503.90.00,Sulphur (other than crude or unrefined sulphur,5,,,,,
2504.00.00,Natural graphite,5,,,,,
2504.10.00,Fire clay ,5,,,,,
2504.10.00,Graphite : in powder or in Flakes,5,,,,,
2504.10.00,Crystalline : in powder or in Flakes,5,,,,,
2504.20.00,Graphite : in powder or in Flakes,5,,,,,
2504.20.00,Amorphous: in powder or in Flakes,5,,,,,
2505.00.00,"Natural sands of all kinds, whether or not  metal-bearing sand of Chapter 56",5,,,,,
2505.10.00,Silica sands and quartz sands,5,,,,,
2505.10.11,"Silica sands, processed (white)",5,,,,,
2505.10.12,"Silica sands, processed (brown)",5,,,,,
2505.10.20,Quartz sands (including moulding sands),5,,,,,
2505.90.00,Other natural sands (other than metal-bearing sands),5,,,,,
2506.00.00,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape ",5,,,,,
2506.10.00,Quartz (other than natural sands),5,,,,,
2506.21.00,Quartzite (crude or roughly trimmed),5,,,,,
2506.29.00,Quartzite (other than crude or roughly trimmed),5,,,,,
2507.00.00,"Kaolin and other kaolinic clays, whether or not calcined ",5,,,,,
2507.00.10,"Kaolin and other kaolinic clays, whether or not calcined : Crude",5,,,,,
2507.00.21,"Kaolin and other kaolinic clays, whether or not calcined : Other : Pharmaceutical grade",5,,,,,
2507.00.22,"Kaolin and other kaolinic clays, whether or not calcined : Other : Ceramic grade",5,,,,,
2508.00.00,"Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.",5,,,,,
2508.10.00,Activated Bentonite Powder,5,,,,,
2508.10.00,Bentonite,5,,,,,
2508.10.00,Bentonite powder attracts,5,,,,,
2508.10.00,Natural fullers earth.,5,,,,,
2508.20.00,"Decolorizing earths, fuller's earths",5,,,,,
2508.30.00,Fire-clay,5,,,,,
2508.30.00,Graphite Flakes,5,,,,,
2508.40.00,Other clays,5,,,,,
2508.40.10,Ball clay,5,,,,,
2508.40.20,Earth clay,5,,,,,
2508.40.90,"Clays nesoi, andalusite, kyanite etc, mullite etc: Other",5,,,,,
2508.50.00,"Andalusite, kyanite, sillimanite",5,,,,,
2508.60.00,Mullite,5,,,,,
2508.70.00,"Chamotte, dinas earths",5,,,,,
2509.00.00,Chalk,5,,,,,
2510.00.00,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk. ",5,,,,,
2510.10.00,"Natural calcium phosphates, aluminium calcium phosphates, calcium phosphate apatite (unground)",5,,,,,
2510.20.00,"Natural calcium phosphates, aluminium calcium phosphates, calcium phosphate apatite (ground)",5,,,,,
2511.00.00,"Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816.",5,,,,,
2511.10.00,Natural barium sulphate (barytes): Lumps,5,,,,,
2511.10.20,Natural barium sulphate (barytes): Powder,5,,,,,
2511.20.00,Natural barium carbonate (witherite),5,,,,,
2512.00.00,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",5,,,,,
2512.00.10,Kieselguhr ,5,,,,,
2512.00.20,Tripolite,5,,,,,
2512.00.30,Diatomite,5,,,,,
2513.00.00,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated - pumice stone.",5,,,,,
2513.10.00,Pumice stone (crude or in irregular pieces),5,,,,,
2513.19.00,Pumice stone (other than crude or in irregular pieces),5,,,,,
2513.20.00,Natural abrasives,5,,,,,
2513.20.10,Emery,5,,,,,
2513.20.20,Natural corundum,5,,,,,
2513.20.30,Natural garnet,5,,,,,
2513.20.90,Other natural abrasives,5,,,,,
2513.21.00,"Emery, natural corundum, garnet, other natural abrasives (crude or in irregular pieces)",5,,,,,
2513.29.00,"Other emery, natural corundum, natural garnet, other natural abrasive",5,,,,,
2514.00.00,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape ",5,,,,,
2515.00.00,"Ecaussine and other calcareous monumental or building stone; alabaster, other than marble and travertine ",5,,,,,
2515.12.10,Marble and travertine blocks,12,,,,,
2515.12.20,Marble and travertine other than blocks,28,,,,,
2515.12.90,Marble and travertine other than blocks,28,,,,,
2515.20.00,"Ecaussine, other calcareous monumental or building stone",5,,,,,
2515.20.90,Alabaster,5,,,,,
2515.20.00,"Ecaussine, other calcareous monumental or building stone: Other",5,,,,,
2516.00.00,"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",5,,,,,
2516.11.00,Granite Blocks,12,,,,,
2516.12.00,Granite (merely cut by sawing or otherwise),12,,,,,
2516.11.00,Granite other than blocks,28,,,,,
2516.21.00,Sandstone (crude or roughly trimmed),5,,,,,
2516.22.00,Sandstone (merely cut by sawing or otherwise),5,,,,,
2516.90.00,Other monumental or building stone,5,,,,,
2516.90.10,Pakur stone,5,,,,,
2516.90.20,Stone boulders,5,,,,,
2516.90.90,"Porphyry, basalt etc., crude or cut etc.: Other",5,,,,,
2517.00.00,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated.

",5,,,,,
2517.10.10,"Pakur stone, crushed or broken",5,,,,,
2517.10.10,"Flint stone, crushed or broken",5,,,,,
2517.20.00,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",5,,,,,
2517.30.00,Tarred macadam,5,,,,,
2517.41.00,"Granules, chippings, powder of marble",5,,,,,
2517.49.00,"Granules, chippings, powder of basalt, granite, porphyry, sandstone",5,,,,,
2518.00.00,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; dolomite ramming mix.",5,,,,,
2518.10.00,"Dolomite, not calcined or sintered",5,,,,,
2518.20.00 �,Calcined or sintered dolomite,5,,,,,
2518.30.00,Dolomite ramming mix,0,,,,,
2518.30.00,Agglomerated dolomite (including tarred dolomite),5,,,,,
2519.00.00,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure ",5,,,,,
2519.10.00,Natural magnesium carbonate (magnesite),5,,,,,
2519.90.00,"Fused magnesia, dead-burned magnesia, other magnesium oxide",5,,,,,
2520.00.00,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders ",5,,,,,
2520.10.00,"Gypsum, anhydrite",5,,,,,
2520.10.10,Gypsum,5,,,,,
2520.20.00,Plasters,5,,,,,
2521.00.00,"Limestone flux; limestone and other calcareous stones, of a kind used for the manufacture of lime or cement .",5,,,,,
2521.00.10,"Limestone flux (L.D., below 1% SiO2)",5,,,,,
2522.00.00 �,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 2825.",5,,,,,
2522.10.00,Quicklime,5,,,,,
2522.20.00,Chem Powder,5,,,,,
2522.20.00,Slaked lime,5,,,,,
2522.30.00,Hydraulic lime,5,,,,,
2523.00.00,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers .",28,,,,,
2523.10.00,Cement clinkers,28,,,,,
2523.21.00,White cement (portland cement),28,,,,,
2523.29.00,Other portland cement,28,,,,,
2523.29.10,"Ordinary portland cement, dry",28,,,,,
2523.29.20,"Ordinary portland cement, coloured",28,,,,,
2523.29.30,Portland pozzolana cement,28,,,,,
2523.29.40,Portland slag cement,28,,,,,
2523.30.00,Aluminous cement,28,,,,,
2523.90.00,Other hydraulic cements,28,,,,,
2523.90.10,"Sagol, ashmoh",28,,,,,
2523.90.20,High alumina refractory cement,28,,,,,
2523.90.90,"Cement, hydraulic (other)",28,,,,,
2524.00.00,Asbestos,5,,,,,
2524.10.00,Crocidolite,5,,,,,
2524.90.11,Chrysolite in rock form,5,,,,,
2524.90.12,Amphibole in rock form,5,,,,,
2524.90.13,Crysolite in rock form,5,,,,,
2524.90.14,Amosite in rock form,5,,,,,
2524.90.21,"Chrysolite - Fibbre raw, beaten or washed or graded to length",5,,,,,
2524.90.22,"Amphibole- Fibbre raw, beaten or washed or graded to length",5,,,,,
2524.90.23,"Crysolite - Fibbre raw, beaten or washed or graded to length",5,,,,,
2524.90.24,"Amosite - Fibbre raw, beaten or washed or graded to length",5,,,,,
2524.90.31,Chrysolite - Flakes or powder,5,,,,,
2524.90.32,Amphibole  - Flakes or powder,5,,,,,
2524.90.33,Crysolite  - Flakes or powder,5,,,,,
2524.90.34,Amosite  - Flakes or powder,5,,,,,
2524.90.91,Chrysotile: Flakes or powder: Other: Waste,5,,,,,
2524.90.92,Amphibole  Flakes or powder: Other: Waste,5,,,,,
2524.90.93,Crysolite  -  Flakes or powder: Other: Waste,5,,,,,
2524.90.94,Amosite  -  Flakes or powder: Other: Waste,5,,,,,
2525.00.00,"Mica, including splittings; mica waste.",5,,,,,
2525.10.00,"Crude mica, mica rifted into sheets or splittings",5,,,,,
2525.10.10,Mica Blocks,5,,,,,
2525.10.20,Condensor films trimmed but not cut to shape,5,,,,,
2525.10.30,"Mica splittings, book form",5,,,,,
2525.10.40,"Mica splittings, loose",5,,,,,
2525.20.00,Mica powder,5,,,,,
2525.30.00,Mica waste,5,,,,,
2526.00.00,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.",5,,,,,
2526.10.00,"Natural steatite, talc (not crushed, not powdered)",5,,,,,
2526.10.10,"Steatite (soap stone, etc.) block, not crushed, not powdered",5,,,,,
2526.10.20,"Steatite (soap stone, etc.) lumps, not crushed, not powdered",5,,,,,
2526.20.00,"Natural steatite, talcum, crushed or powdered",5,,,,,
2527.00.00,0,0,,,,,
2528.00.00,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine;natural boric acid containing not more than 85 of H2BO3.",5,,,,,
2528.10.00,Natural sodium borates,5,,,,,
2528.90.10,Natural boric acid (containing not more than 85 of H3BO3),5,,,,,
2528.90.20,Natural calcium borates and concentrates thereof (Whether or not calcined),5,,,,,
2529.00.00,Feldspar  leucite  nepheline and nepheline syenite  fluorspar ,5,,,,,
2529.10.00,Feldspar,5,,,,,
2529.21.00,Fluorspar (containing 97% or less of calcium fluoride),5,,,,,
2529.22.00,Fluorspar (containing more than 97% of calcium fluoride),5,,,,,
2529.30.00,"Leucite, nepheline and nepheline syenite",5,,,,,
2530.00.00,Mineral substances not elsewhere specified or included.,5,,,,,
2530.10.00,"Vermiculite, perlite, chlorites (unexpanded)",5,,,,,
2530.20.00,"Kieserite, epsom salts (natural magnesium sulfates)",5,,,,,
2530.30.00,Earth colors,5,,,,,
2530.40.00,Natural micaceous iron oxides,5,,,,,
2530.90.00,Other mineral substances,5,,,,,
2601.00.00,"Iron ores & concentrates, including roast iron pyrites",5,,,,,
2601.11.10,"Iron ores lumps(60% Fe or more), non-agglomerated",5,,,,,
2601.11.20,"Iron ores lumps(below 60% Fe, including black iron ore containing up to 10%), non-agglomerated",5,,,,,
2601.11.30,"Iron ore fines (62% Fe or more), non-agglomerated",5,,,,,
2601.11.40,"Iron ore fines (below 62% Fe), non-agglomerated",5,,,,,
2601.11.50,"Iron ore concentrates,  non-agglomerated",5,,,,,
2601.12.00,Iron ores pellets (agglomerated),5,,,,,
2601.20.00,Roasted iron pyrites,5,,,,,
2602.00.00,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight.",5,,,,,
2602.00.10,Manganese ore (46% or more),5,,,,,
2602.00.20,Manganese ore (44% or more but below 46%),5,,,,,
2602.00.30,Manganese ore (40% or more but below 44%),5,,,,,
2602.00.40,Manganese ore (35 or more but below 40%),5,,,,,
2602.00.50,Manganese ore (30% or more but below 35),5,,,,,
2602.00.60,Ferruginous (10% or more but below 30%),5,,,,,
2602.00.70,"Manganese oresinters, agglomerated",5,,,,,
2603.00.00,Copper ores and concentrates.,5,,,,,
2604.00.00,Nickel ores and concentrates.,5,,,,,
2605.00.00,Cobalt ores and concentrates.,5,,,,,
2606.00.00,Aluminium ores and concentrates.,5,,,,,
2606.00.10,"Bausite (natural), Not calcined",5,,,,,
2606.00.20,"Bausite (natural), calcined",5,,,,,
2606.00.90,Other aluminium ores and conentrates,5,,,,,
2607.00.00,Lead ores and concentrates.,5,,,,,
2608.00.00,Zinc ores and concentrates.,5,,,,,
2609.00.00,Tin ores and concentrates.,5,,,,,
2610.00.00,Chromium ores and concentrates.,5,,,,,
2610.00.10,"Chrome ore lumps, containing 47% Cr2O3 and above",5,,,,,
2610.00.20,"Chrome ore lumps, containing 40% or more but less than 47% Cr2O3 ",5,,,,,
2610.00.30,"Chrome ore lumps, below 40% Cr2O3 ",5,,,,,
2610.00.40,Chrome ore friable and concentrates fixes containing 47% Cr2O3 and above.,5,,,,,
2611.00.00,Tungsten ores and concentrates,5,,,,,
2612.00.00,Uranium or thorium ores and concentrates,5,,,,,
2612.10.00,Uranium ores and concentrates,5,,,,,
2612.20.00,Thorium ores and concentrates,5,,,,,
2613.00.00,Molybdenum ores and concentrates,5,,,,,
2613.10.00,Molybdenum ores and concentrates (roasted),5,,,,,
2613.90.00,Molybdenum ores and concentrates (other than roasted),5,,,,,
2614.00.00,Titanium ores and concentrates,5,,,,,
2615.00.00,"Niobium, tantalum, vanadium & zirconium ore & concentrates",5,,,,,
2615.10.00,Zirconium ores and concentrates,5,,,,,
2615.90.10,Vanadium ores and concentrates,5,,,,,
2615.90.20,"Niobium, Tantalum, ores and concentrates",5,,,,,
2616.00.00,Precious metal ores and concentrates,5,,,,,
2616.10.00,Silver ores and concentrates,5,,,,,
2616.90.00,Gold ores and concentrates,5,,,,,
2617.00.00,Other ores and concentrates ,5,,,,,
2617.10.00,Antimony ores and concentrates,5,,,,,
2618.00.00,Granulated slag (slag sand) from the manufacture of iron or steel,5,,,,,
2619.00.00,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel.",18,,,,,
2619.00.10,Converted slag (scull) of blast furnace,18,,,,,
2620.00.00,"Slag, ash and residues (other than from the manufacture of iron or steel), containing metals, arsenic, metals or their compounds .",18,,,,,
2620.11.00,Hard zinc spelter,18,,,,,
2620.21.00,"Leaded gasline sludges and leaded anti-knock compound sludges, containg mainly lead",18,,,,,
2620.30.10,"Nrass dross, containing mainly copper",18,,,,,
2620.40.00,"Aluminium dross, containing maily aluminium",18,,,,,
2620.50.00,Ash and residues containing vanadium,18,,,,,
2620.60.00,"Containing arsenic, mecury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",18,,,,,
2620.91.00,"Containing antimony, beryllium, cadmium, chromium or their mixtures",18,,,,,
2621.00.00,"Other slag and ash, inlcuding seaweed ash (kelp); ash and residues from the incineration of municipal waste.",18,,,,,
2621.10.00,Ash and residues from theincineration of municipal waste,18,,,,,
2701.00.00,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal ",5,,,,,
2701.11.00,Anthracite,5,,,,,
2701.12.00,Bituminous coal,5,,,,,
2701.19.00,"Coal (other than anthracite, bituminous coal)",5,,,,,
2701.19.10,Coking coal,5,,,,,
2701.19.20,Steam coal,5,,,,,
2701.20.10,"Briquettes, ovoids and similar solid fuels manufactured from coal: Anthracite agglomerated",5,,,,,
2702.00.00,"Lignite, whether or not agglomerated, excluding jet.",5,,,,,
2702.10.00,Lignite (not agglomerated),5,,,,,
2702.20.00,Agglomerated lignite,5,,,,,
2703.00.00,"Peat (including peat litter), whether or not agglomerated.",5,,,,,
2703.00.10,"Peat whether or not compressed into bales, but not agglomerated",5,,,,,
2704.00.00,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon.",5,,,,,
2704.00.10,Retort carbon (gas carbon),5,,,,,
2704.00.20,Coke and semi-coke of lignite or of peat,5,,,,,
2704.00.30,Hard coke of coal,5,,,,,
2704.00.40,Soft coke of coal,5,,,,,
2705.00.00�,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons.",5,,,,,
2706.00.00,"Tar distilled from coal, from lignite or from peat.",5,,,,,
2706.00.10,Coal rar,5,,,,,
2706.00.90,Pine Tar,5,,,,,
2707.00.00,"Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, such as benzol (benzene), Toluole (toluene), Xylole (xylenes), Naphthelene.

",18,,,,,
2707.10.00,Benzene,18,,,,,
2707.20.00,Toluene,18,,,,,
2707.30.00,Xylenes,18,,,,,
2707.40.00,Naphthalene,18,,,,,
2707.50.00,Other aromatic hydrocarbon mixtures of which 65 or more by volume (including losses) distils at 250 degrees centigrade by the ASTM D 86 method,18,,,,,
2707.60.00,Phenols,18,,,,,
2707.90.00,Mixed Xylene,18,,,,,
2707.91.00,Creosote oils,18,,,,,
2707.99.00,Other products of distillation of high temperature coal tar,18,,,,,
2708.00.00,"Pitch and pitch coke, obtained from coal tar or from other mineral tars. ",18,,,,,
2708.10.10,Pitch - obtained by blending with creosote oil or other coal tar distillates,18,,,,,
2708.20.00,Pitch coke (obtained from coal tar or other mineral tars),18,,,,,
2709.00.00,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,,,,
2709.00.00,Crude oil from petroleum and bituminous minerals,0,,,,,
2709.00.00,Decantation,0,,,,,
2709.00.00,Dehydration,0,,,,,
2709.00.00,De-salting,0,,,,,
2709.00.00,Elimination of very light fractions with aview to returning them to the oil-deposits in order to improve the drainage and maintain the pressure,0,,,,,
2709.00.00,Petroleum oils and oils obtained from bituminous minerals (crude),0,,,,,
2709.00.00,Stabilization in order to normalize the vapour pressure,0,,,,,
2709.00.00,The addition of only those hydrocarbons previously recovered by physical methods during the course of the above mentioned process,0,,,,,
2710.00.00,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containign by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils; [Other than Avgas and Kerosene PDS] such as Superior kerosene oil (SKO), Fuel oil, Base oil, Jute batching oil and textile oil, Lubricating oil, waste oil [Other than Petorl, Diesel and ATF, not in GST]",18,,,,,
2710.00.00 �,Kerosene PDS,5,,,,,
2710.00.00 �,Avgas,28,,,,,
2710.00.00 �,Bio-gas,12,,,,,
2710.00.00 �,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers or to non-domestic exempted category (NDEC) customers by the Inidan Oil Corporation Ltd. Hindustan Petroleum Cormproation Lte., or Bharat Petroleum Corporation Ltd.,",5,,,,,
2711.00.00,"Petroleum gases and other gaseous hydrocarbons, such as Propane, Butanes, Ethylene, propylene, butylene and butadiene [other than Liquefied Propane and Butane Mixutre, Liquefied Propane, Liquefied Butane and Lequefied Petroleum Gases (LPG) for supply to household domestic consumers or to non-domestic exempted category (NDEC) customers by the Inidan Oil Corporation Ltd., Hindutan Petroleum Corporation Ltd., or Bharat Petroleum Corporation Ltd.,.",18,,,,,
2711.11.00,Natural gas (liquefied),18,,,,,
2711.12.00,Propane (liquefied),18,,,,,
2711.13.00,Butanes (liquefied),18,,,,,
2711.14.00,"Ethylene, propylene, butylene, butadiene (liquefied)",18,,,,,
2711.19.00,Liquified Petroleum gases - Domestic use,18,,,,,
2711.19.00,"Other petroleum gases, gaseous hydrocarbons (liquefied)",18,,,,,
2711.21.00,Natural gas,18,,,,,
2711.29.00,"Other petroleum gases, other gaseous hydrocarbons",18,,,,,
2712.00.00,"Petroleum jelly, paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured.",18,,,,,
2712.10.00,Petroleum jelly,18,,,,,
2712.20.00,Paraffin wax containing by weight less than 0.75 of oil,18,,,,,
2712.90.00,"Other mineral waxes, similar products obtained by synthesis",18,,,,,
2712.90.10,Micro-crystalline petroleum wax,18,,,,,
2712.90.30,Slack wax,18,,,,,
2712.90.90,Lignite wax (other),18,,,,,
2713.00.00,"Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals ",18,,,,,
2713.11.00,Petroleum coke (not calcined),18,,,,,
2713.12.00,Petroleum coke (calcined),18,,,,,
2713.20.00,Petroleum bitumen,18,,,,,
2713.90.00,Other residues of petroleum oils or bituminous mineral oils,18,,,,,
2714.00.00,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks. ",18,,,,,
2714.10.00,Bituminous or oil shale and tar sands,18,,,,,
2714.90.10,"Bitumen and asphalt (natural), asphaltites, asphaltic rocks",18,,,,,
2714.90.20,Bitumin ,18,,,,,
2714.90.30,Gilsonete,18,,,,,
2715.00.00,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut backs).",18,,,,,
2716.00.00,Electrical energy,0,,,,,
2801.00.00,"Fluorine, chlorine, bromine and iodine ",18,,,,,
2801.10.00,Chlorine,18,,,,,
2801.20.00,Iodine,12,,,,,
2801.30.00,"Fluorine, bromine",18,,,,,
2801.30.10,Fluorine,18,,,,,
2801.30.20,Bromine,18,,,,,
2802.00.00,"Sulphur, sublimed or precipitated; colloidal sulphur.",18,,,,,
2802.00.10,Sublimed Sulphur,18,,,,,
2802.00.20,Preceipitated Sulphur,18,,,,,
2802.00.30,Collodial Sulphur,18,,,,,
2803.00.00,Carbon (including carbon blacks and other forms of carbon not elsewhere specified or included),18,,,,,
2803.00.10,Carbon black,18,,,,,
2803.00.20,Acetylene black,18,,,,,
